"TENURE","HHSIZE","HH62PLUS","HHUNDER18","HHUNDER6","HHFIRSTMOVEIN","HHDEAR","HHDEYE","HHDREM","HHDPHY","HHDDRS","HHDOUT","HHDONEPLUS","NOHEAT","NOHOTWATER","ADDHEAT","LEAKS","MOLD","MUSTY","RODENTS_UNIT","RODENTS_BUILD","TOILET_BROK","ROACHES_NUM","WALLHOLES","FLOORHOLES","PEELPAINT","MDEFCOUNT","ANIMS","PA_FOOD","PA_CASH","PA_OTHER","PA_ANY","FOODINSECURE","UTIL_ELECTRIC","UTIL_GAS","UTIL_HEAT","UTIL_WATER","UTIL_INCLUDED","UTIL_NONE","UTILCOSTS_SUMMER","UTILCOSTS_WINTER","MUTIL","INTERUPT_UTIL","INTERUPT_PHONE","INTERUPT_CELL","INTERUPT_NONE","EMERG400_RATE","HHINC_REC1","HUDILFY20","HUDILFY21","HHPOVERTY","LEASENOW","RENTASSIST","RENTASSIST_VOUCHER","RENTOUTSIDE","RENTFEES","RENT_AMOUNT","GRENT","RENTPAID","RENTPAID_AMOUNT","MISSRENT","ALTRENT_CREDIT","ALTRENT_SAVINGS","ALTRENT_LOAN","ALTRENT_ASSET","ALTRENT_ONEPLUS","RENTBURDEN_CAT","CROWD_BDRM","CROWD_RM","HHCOVIDDIAG"
1,1,1,2,2,2021,2,2,2,1,2,2,1,2,2,2,2,2,5,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,150,100,120,2,2,2,1,1,2000,3,2,15,2,2,2,2,2,228,228,1,228,2,2,2,2,2,2,4,3,3,2
1,1,1,2,2,1999,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,1,2,2,1,1,2,2,2,2,1,2,150,100,120,2,2,2,1,1,3696,5,4,30,1,1,2,2,2,1172,1172,2,1375,2,2,2,2,1,1,1,3,3,2
1,6,2,1,2,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,1,2,2,2,600,525,555,2,2,2,1,10,65480,50,47,180,1,2,2,2,2,2100,2655,1,2100,1,2,2,2,2,2,2,3,2,2
1,3,2,1,1,1995,2,2,2,2,2,2,2,2,1,2,1,2,5,2,1,2,2,2,1,2,3,2,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,10,30000,29,28,144,1,2,2,2,1,1065,1065,1,1065,2,2,2,2,2,2,4,3,3,2
1,4,2,2,2,1994,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,1,2,2,2,2,180,140,150,2,2,2,1,10,10000,9,8,37,1,2,2,2,2,1169,1319,1,1169,2,2,2,2,2,2,1,1,1,2
1,1,1,2,2,2009,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,1,2,2,2,200,250,321,2,2,2,1,10,68366,86,82,250,2,2,2,2,2,1000,1321,1,1000,2,2,2,2,2,2,3,3,3,2
1,2,2,1,2,2017,2,2,2,2,2,2,2,1,1,2,2,1,5,1,2,1,2,2,1,1,4,2,1,2,2,1,1,2,2,2,2,2,1,150,100,120,2,2,2,1,1,12800,14,13,72,2,1,2,2,2,1529,1529,1,1529,2,2,2,2,2,2,1,3,3,1
1,1,2,2,2,2015,2,2,2,2,2,2,2,2,2,2,2,2,5,1,2,2,4,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,150,100,120,2,2,2,1,1,9360,12,11,70,1,1,2,2,2,250,250,1,250,1,2,2,1,2,1,4,3,3,2
1,2,2,2,2,2017,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,1,1,2,2,1,1,2,2,2,2,2,1,150,100,120,2,2,2,1,5,10400,11,11,60,1,1,1,2,2,1500,1500,1,1500,2,2,2,2,2,2,4,3,3,2
1,2,1,1,2,2019,2,2,2,1,2,2,1,2,2,2,2,2,5,1,2,2,3,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,150,150,150,2,2,2,1,1,15600,17,16,88,1,1,2,2,2,607,757,1,607,2,2,2,2,2,2,2,3,3,2
1,1,1,2,2,2012,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,1,40087,50,48,250,2,2,2,1,2,1980,1980,1,1980,2,2,2,2,2,2,1,3,3,2
1,2,1,2,2,1964,2,2,1,1,1,1,1,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,2,2,2,2,100,75,81,2,2,2,1,10,7200,8,8,46,2,2,2,2,2,1772,1853,1,1772,2,2,1,2,2,1,1,3,3,1
1,1,1,2,2,1970,2,2,2,2,2,2,2,1,3,2,2,2,4,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,1,15000,19,18,121,2,2,2,2,2,444,444,1,444,2,2,2,2,2,2,4,3,3,2
1,1,2,2,2,2000,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,2,2,2,2,130,90,100,2,2,2,1,3,50000,63,60,250,1,2,2,2,2,1138,1238,1,1138,2,2,2,2,2,2,3,3,3,2
2,4,2,1,1,2017,2,2,2,2,2,2,2,1,1,2,2,2,5,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,1,92000,81,77,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
2,1,2,2,2,2020,2,2,2,2,2,2,2,2,1,2,2,2,5,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,150,100,120,2,2,2,1,1,93000,117,111,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
1,4,2,1,2,2017,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1,2,4,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,200,98,124,2,2,2,1,5,5000,4,4,19,1,1,1,2,2,800,924,1,800,2,2,2,2,2,2,4,3,3,2
1,1,2,2,2,2012,2,2,2,2,2,2,2,2,2,1,2,2,5,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,250,75,119,2,2,2,1,10,45000,57,54,250,1,2,2,2,2,2250,2369,1,2250,2,2,2,2,2,2,1,3,3,2
1,4,2,1,1,2015,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,2,2,2,2,200,120,140,2,2,2,1,10,135000,119,113,250,1,2,2,2,2,1087,1227,1,1087,2,2,2,2,2,2,3,3,3,1
1,2,2,2,2,2018,2,2,2,2,2,2,2,2,1,2,2,2,5,2,2,2,1,2,2,2,0,1,2,2,2,2,1,1,1,2,2,2,2,80,40,50,2,2,2,1,10,265650,250,250,250,1,2,2,2,2,2500,2550,1,2500,2,2,1,2,2,1,3,3,3,2
1,2,1,2,2,2007,2,2,2,2,2,2,2,1,1,2,1,1,5,2,1,2,3,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,2,180,150,158,2,2,2,1,8,41700,46,44,241,1,2,2,2,2,1462,1620,1,1462,2,2,2,2,2,2,2,3,3,2
1,3,2,2,2,2000,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,2,2,2,2,100,80,85,2,2,2,1,10,70000,68,65,250,1,2,2,2,2,1500,1585,1,1500,2,2,2,2,2,2,3,3,3,1
1,1,2,2,2,2020,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,120,100,120,2,2,2,1,10,385756,250,250,250,1,2,2,2,2,4700,1400,1,4700,2,2,1,2,2,1,3,3,3,2
1,2,1,2,2,2001,2,2,2,2,2,2,2,2,2,1,1,2,5,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,8,96000,105,101,250,1,2,2,2,2,1000,1000,1,1000,2,2,2,2,2,2,3,3,3,2
1,1,2,2,2,2016,2,2,2,2,2,2,2,1,2,2,1,1,4,2,2,2,2,1,2,2,3,2,2,2,2,2,1,1,1,2,2,2,2,33,35,35,2,2,2,1,10,52802,66,63,250,1,2,2,2,2,1434,1469,1,1434,2,2,2,2,2,2,2,3,3,2
1,3,2,1,2,2014,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,2,2,1,2,1,3,2,2,2,2,2,1,2,2,2,2,2,1,150,100,120,2,2,2,1,1,41600,41,39,200,2,2,2,2,2,1350,1350,1,1350,2,2,2,2,2,2,2,3,3,2
1,1,2,2,2,2018,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,2,2,2,2,100,100,100,2,2,2,1,4,55000,69,66,250,2,2,2,2,2,1750,1850,1,1750,2,2,2,2,2,2,2,3,3,1
1,4,2,2,2,2018,2,2,2,2,2,2,2,2,2,2,1,2,5,2,2,2,1,2,2,2,1,2,2,2,2,2,3,2,2,2,2,1,2,150,100,120,2,2,2,1,7,136800,120,115,250,1,2,2,2,2,2100,2100,1,2100,2,2,2,2,2,2,3,3,3,1
1,1,2,2,2,2020,2,2,2,2,2,2,2,2,2,2,2,2,5,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,170,100,120,2,2,2,1,1,46000,58,55,250,1,1,1,2,2,1200,1400,1,1200,2,2,2,2,2,2,4,3,3,2
1,5,1,1,2,2014,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,1,1,2,2,1,1,2,2,2,2,1,2,150,100,120,2,2,2,1,1,31872,26,25,101,1,2,2,2,1,671,671,1,671,2,2,2,2,2,2,4,3,3,2
2,1,1,2,2,1980,2,2,2,1,2,2,1,2,3,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,1,19707,25,24,159,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,1
1,1,1,2,2,2019,2,2,2,1,2,1,1,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,1,29000,36,35,234,2,1,1,2,2,1536,1536,1,1536,2,2,2,2,2,2,4,3,3,2
1,3,2,2,2,1985,2,2,2,2,2,2,2,1,1,1,1,2,5,2,1,2,2,1,2,1,6,1,1,1,2,1,3,2,2,2,2,1,2,150,100,120,2,2,1,2,1,4920,5,5,24,1,1,1,2,2,840,840,1,840,1,2,2,1,1,1,4,3,3,2
1,2,2,1,2,2021,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,150,100,120,2,2,2,1,10,69000,76,72,250,1,2,2,2,2,1800,1400,1,1800,2,2,2,2,2,2,2,3,3,1
1,6,2,2,2,2004,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,1,0,1,2,2,2,2,1,1,1,2,2,2,2,50,100,88,2,2,2,1,10,214000,162,155,250,2,2,2,2,2,1200,1288,1,1200,2,2,2,2,2,2,3,1,2,2
2,2,2,2,2,2010,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,1,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,10,755399,250,250,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
1,3,2,2,2,1980,2,2,2,1,2,1,1,1,1,1,2,2,5,2,1,2,3,1,1,2,4,2,1,2,2,1,2,1,1,2,2,2,2,80,120,110,2,2,2,1,1,68000,66,63,250,1,2,2,2,2,727,837,1,727,1,2,1,2,2,1,3,1,3,1
2,1,1,2,2,1966,2,2,2,2,2,2,2,1,1,2,2,2,5,1,2,2,2,1,1,1,3,2,2,2,2,2,1,1,1,2,2,2,2,151,151,151,2,2,2,1,1,1200,2,1,10,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
1,7,2,1,1,2010,2,2,2,2,2,2,2,1,1,2,1,2,4,1,2,2,2,2,1,1,4,2,2,2,2,2,2,2,2,2,2,2,1,150,100,120,1,2,2,2,1,333000,236,225,250,2,2,2,2,2,3800,3800,1,3800,1,2,2,2,2,2,3,1,1,2
1,1,2,2,2,2020,2,2,2,2,2,2,2,1,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,2,2,2,2,55,60,59,2,2,2,1,3,27000,34,32,201,1,2,2,2,2,1603,1662,1,1603,2,2,2,2,2,2,1,3,3,2
1,1,2,2,2,2013,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,2,2,2,2,2,150,100,113,2,2,2,1,5,40000,50,48,250,1,2,2,2,2,0,1400,1,0,2,2,2,2,2,2,3,3,3,2
1,1,2,2,2,2007,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,8,75000,94,90,250,1,2,2,2,2,264,264,1,264,2,2,2,2,2,2,3,3,3,2
2,3,2,2,2,1990,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,1,2,2,2,2,1,1,1,1,1,2,2,150,400,546,2,2,2,1,10,202000,197,188,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
1,4,2,1,1,2019,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1,1,1,1,2,2,2,2,2,100,80,85,2,2,2,1,6,43600,38,37,166,2,2,2,2,2,1700,1785,1,1700,2,2,2,1,2,1,2,1,2,2
1,2,1,2,2,1986,1,1,1,1,2,2,1,1,2,2,1,1,5,2,2,2,3,1,2,1,3,2,1,2,2,1,3,2,2,2,2,1,2,150,100,120,2,2,2,1,1,150,0,0,1,1,2,2,2,1,201,201,1,201,2,2,2,1,1,1,4,3,3,2
1,4,1,2,2,2012,2,2,2,1,2,1,1,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,1,2,2,1,1,1,2,1,2,2,2,700,600,658,2,2,2,1,10,61000,54,51,229,1,2,2,2,2,1600,2258,1,1600,2,2,2,2,2,2,2,3,3,2
2,5,1,1,2,2006,1,2,2,2,2,2,1,2,2,2,2,2,5,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,500,500,935,2,2,2,1,10,134000,109,104,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
2,1,1,2,2,1973,2,2,2,1,2,2,1,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,1,1,2,2,400,123,220,2,2,2,1,10,60844,76,73,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,3,3,2
1,1,2,2,2,2012,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,1,1,2,2,2,2,150,120,128,2,2,2,1,10,80000,101,96,250,2,2,2,2,2,1200,1328,1,1200,2,2,2,2,2,2,3,3,3,2
2,7,1,1,1,1998,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,113,113,113,2,2,2,1,10,195528,139,132,250,1,2,2,2,2,1379,1400,1,1375,2,2,2,2,2,2,3,1,1,2
1,2,1,2,2,2000,2,1,2,2,2,2,1,2,2,2,2,2,5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,150,100,113,2,2,2,1,3,44800,49,47,250,1,2,2,2,2,1036,1149,1,1036,2,2,2,2,2,2,3,3,3,2
1,2,2,2,2,2013,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,200,110,133,2,2,2,1,10,110000,121,115,250,1,2,2,2,1,2000,2133,1,2000,2,2,2,2,2,2,3,3,3,2
1,2,2,2,2,2020,1,2,1,1,2,1,1,2,2,2,1,2,5,2,2,2,3,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,150,100,120,2,2,2,1,1,3048,3,3,18,1,1,1,2,2,1568,1568,1,1568,2,2,2,2,2,2,4,3,3,2
1,1,2,2,2,2016,2,2,2,2,2,2,2,2,2,2,2,2,5,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,100,70,78,2,2,2,1,10,51200,64,61,250,1,2,2,2,2,1760,1838,1,1760,1,2,2,2,2,2,2,3,3,2
1,1,2,2,2,2021,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,150,100,120,2,2,2,1,10,54200,68,65,250,1,2,2,2,2,1795,1400,1,1795,2,2,2,2,2,2,2,3,3,2
1,1,2,2,2,1997,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,0,2,2,2,2,2,1,2,2,2,2,1,2,150,100,120,2,2,2,1,2,33000,41,39,245,1,2,2,2,2,708,708,1,708,2,2,2,2,2,2,3,3,3,2
1,1,1,2,2,2019,2,1,2,1,2,2,1,2,2,2,2,2,5,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,75,60,64,2,2,2,1,6,38400,48,46,250,1,2,2,2,2,1100,1164,1,1100,2,2,2,2,2,2,2,3,3,2
1,1,1,2,2,2006,2,2,2,1,2,2,1,1,2,2,2,2,5,1,2,2,3,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,30,20,23,2,2,2,1,1,7320,9,9,59,1,1,2,2,2,1813,1836,1,1813,2,2,1,2,2,1,1,3,3,2
1,1,1,2,2,2009,1,2,1,1,1,1,1,2,2,1,2,2,5,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,80,80,80,2,2,2,1,8,18468,23,22,149,1,1,2,2,2,700,780,2,878,2,2,2,2,2,2,2,3,3,1
1,1,2,2,2,2020,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,150,100,120,2,2,2,1,8,0,63,60,250,1,2,2,2,2,1400,1400,1,1400,2,2,2,2,2,2,1,3,3,2
1,1,2,2,2,2017,2,2,2,2,2,2,2,2,2,1,2,2,5,2,2,2,1,2,2,2,1,2,2,1,2,1,3,1,1,2,2,2,2,150,100,113,2,2,2,1,1,0,63,60,250,1,1,2,2,2,767,880,1,767,1,2,1,1,2,1,1,3,3,2
